       [[37, 66,  6, 77, 17, 19, 94, 67, 68, 99, 65,  4, 49, 89, 44, 39,
         53, 99, 33, 75, 91,  7, 64, 61, 14, 40, 83, 66, 38, 17, 56, 23,
         38, 47, 39, 64, 88, 15, 79, 41, 21, 44, 67, 36, 35, 21, 25, 45,
          4, 81, 88, 74, 37, 62, 52, 88, 92,  5, 27, 58, 29, 36, 43, 43,
         20, 88, 47, 66, 95, 75, 76, 23, 17, 86, 62, 34, 72, 85,  2, 58,
         24, 49,  6, 71, 69, 37, 37, 46, 61, 82, 58, 70, 46, 56, 70,  0,
         52, 43, 85, 44, 58, 24, 46, 72, 70, 52, 48, 94, 34, 91,  1, 38,
         14, 12, 52, 61, 96, 26, 86, 14, 30, 21, 23, 56, 95,  6, 56, 92,
         44, 81, 65, 75, 81, 58, 88, 14, 97, 79, 87, 57, 70, 69, 78, 92,
         39, 17,  7, 44, 68, 53, 38, 88, 15, 73,  6, 73, 20, 19, 68, 23,
          5, 51, 62, 17, 46, 31, 66, 79, 83, 50, 58, 20, 81, 63, 70, 63,
         33, 83, 56, 23, 13, 83, 72, 51, 43, 49, 61, 21, 38, 41, 34, 83,
         88, 75, 29, 60, 35, 39, 66, 70],
        [38, 63, 39, 51, 98, 56, 78, 84, 79, 76, 63, 83, 56, 10, 50, 90,
          9, 45, 12, 28, 85, 73, 16, 98, 19, 97, 43, 70, 85, 68, 22, 16,
         44, 95, 79, 14, 87, 62, 52, 27, 31, 38, 80, 44,  1, 21, 45, 27,
         11, 16, 87, 10, 49, 65, 71, 55, 88, 73, 69, 32, 79, 51, 13, 52,
         32, 89, 81, 74, 81,  7, 92, 52, 61, 44, 32, 82, 61, 20, 51, 66,
         12, 28, 15, 28, 53, 92, 19, 91, 37, 34, 53, 58, 65, 96, 40, 72,
         93, 73, 52, 98, 63, 82, 65, 87,  1, 74, 41, 80, 76, 42, 66, 85,
         52, 50, 14, 48, 51, 82, 60, 51, 18,  8, 82, 93, 97, 17, 73, 55,
         59, 63, 10, 46,  3, 31, 42, 85,  0, 26, 10, 12,  3, 17, 78, 60,
         63, 95, 49, 36,  8, 22, 68, 44, 17, 36, 16,  6, 11, 66, 24, 70,
         24, 61,  0, 63, 47, 56, 86, 13, 65, 81, 50, 61, 17, 49, 81, 22,
         90,  5, 50, 56, 22, 92, 86, 38, 26, 48, 83, 50, 25, 50,  4,  6,
          4, 71, 42, 93, 27, 54, 87, 67],
        [92, 39, 13, 16, 14, 53, 54,  9, 13, 24, 42, 69, 94, 50, 90, 31,
         61, 65, 34, 98, 80, 20, 91, 34, 74, 68, 34, 91, 48, 46, 30, 47,
          4, 93, 27, 83, 59, 76, 19, 31, 82, 28, 81, 48, 37, 14, 32, 88,
         98, 52, 93, 41, 31, 41, 73, 74,  2,  3, 83, 26, 95, 73, 94, 62,
         96, 37, 31, 57,  2, 69, 69, 64, 78, 79, 71,  9, 73, 86, 71, 35,
         89,  1, 52, 91, 81, 70, 40, 53, 66, 99, 93, 95, 79,  7, 10, 49,
         47, 50, 77, 28, 25, 32, 94, 77, 59, 12, 15, 32,  7, 76, 12, 74,
         17, 81, 72, 86, 82, 21, 99, 19, 14, 11, 19,  9, 64,  2,  3, 94,
         68, 55, 30, 14, 68,  6, 39, 59, 78, 63, 72, 50, 61, 39,  1, 99,
          1, 80, 45, 15, 30, 10, 49, 41, 49, 37, 96, 56, 17, 85, 90, 62,
         81,  0,  1, 91,  5, 75, 38, 24, 15, 99, 54, 10, 52, 21, 52, 66,
         33, 69, 25, 57, 13, 12, 95, 64, 30, 13, 53, 44, 73, 12, 95, 34,
         57, 82,  1, 36, 17, 86, 97, 86],
        [40, 46, 21, 16, 76, 10, 27, 13,  5, 40, 15, 12, 99, 90, 97, 58,
         69, 51, 73, 70, 26, 76, 33,  9, 57, 30, 44,  6, 49, 69, 36,  4,
         17, 79, 89, 27,  3, 43, 68, 36,  1, 38, 31, 72, 26, 10, 29, 60,
         62, 80, 53, 13, 89, 39, 39, 59, 92, 12, 97, 72, 68, 27, 75,  9,
         87, 62, 12, 57,  5, 51,  4, 97, 63, 30, 30, 38, 92, 80, 42, 33,
         71, 64, 69, 87, 23, 51, 81, 16, 94, 29, 57, 46, 54, 79, 62, 43,
         44, 39, 99, 86, 52, 20, 15, 48, 12, 67, 98, 22, 59, 28,  3, 92,
         31, 51, 96, 67, 87, 99, 26, 67, 16, 89, 95, 22, 84, 94, 47,  8,
         54, 30, 41, 35,  7, 47, 35, 23, 49, 59, 62, 76, 42, 83, 22, 62,
         25,  6, 19, 89, 41,  4, 11, 74, 27, 33, 45, 63,  0, 14, 55, 45,
         29, 33, 88, 49, 29, 69, 21, 47, 26, 62, 15, 26, 44, 34, 75, 80,
         33, 51, 26,  6, 33, 26, 45, 82, 14, 87,  6, 82, 81, 92, 69,  3,
         97, 24, 68,  6, 59, 24, 61, 77],
        [58, 46, 93, 21, 35, 97, 76, 94,  6, 30, 35, 37, 49, 73, 37, 48,
         98, 80,  8, 81, 34, 84, 19,  5, 89, 74,  2, 60, 41, 42, 33, 39,
          1, 72, 79, 89,  5, 92, 29, 62, 52,  3, 67, 52,  7, 84,  5, 22,
          3, 18, 71, 18, 72, 28, 99, 46,  9, 76, 60, 89, 85, 65, 27, 37,
         43, 83, 81, 82, 41, 15, 35, 28, 76, 16, 86,  6, 95, 49, 32, 57,
         13, 40, 73, 94, 42,  7,  6,  8, 47, 68, 62, 22, 11, 73, 44, 90,
         77, 71, 70, 80, 49, 34, 95, 70,  9, 50, 71, 36, 50, 17, 84, 51,
         40, 48, 45, 12, 87, 23, 90, 37, 15, 19, 50, 65, 54,  2, 95,  9,
         83, 62, 99,  7,  3, 13, 46, 94, 82, 78, 63, 95,  0, 42, 16, 33,
          7, 30, 87, 62, 24, 49, 62, 85,  1, 67,  8, 26, 10, 45, 23,  6,
         65, 41, 25,  9, 45, 74, 61, 68, 36, 73, 57, 64, 69, 33, 83, 95,
         39, 25, 10, 74, 57, 10,  2, 28, 33, 61, 16, 70, 28, 46, 47, 74,
          1, 47, 67, 46,  7,  0,  8, 77],
        [ 8, 34, 51, 44, 93, 24, 52, 43, 11, 58, 31, 40, 94, 33, 98, 72,
         86, 39, 60, 73, 79, 35, 58, 86, 61, 72, 79, 32, 66, 65, 50, 68,
         48, 84, 86, 10, 68, 77, 55, 38, 88, 55, 97, 14, 66,  9, 94, 72,
          9, 12, 61, 99, 74,  4, 26, 56, 47, 21, 30, 58, 12, 61, 17, 46,
         64, 29, 84, 17, 67, 80, 96,  5, 81,  7, 61, 89, 20,  7,  6, 44,
         39, 49, 48, 67, 66, 96,  8, 48,  1, 67, 13, 13, 21, 86, 92, 12,
         62,  4, 61, 59, 58, 35, 55,  7, 27, 35, 65,  1, 57, 93, 32, 67,
         31, 77, 18, 93, 91, 43, 99, 38, 19, 28,  8, 78, 46, 22, 54, 83,
         75,  7, 93, 26,  0, 67, 47,  5,  6, 63, 95, 70, 14, 70, 28, 25,
         78,  1, 86, 63,  6, 18,  8, 52, 69, 31, 14, 95, 20, 98, 67, 56,
          2, 45, 63, 95, 44, 45,  8,  2, 43,  3,  7,  2, 57,  9, 38,  9,
         32,  5, 61, 15, 24, 50, 58, 55, 32, 72, 37, 99, 30, 80,  9, 46,
         68, 90, 65, 85, 84, 73, 67, 77],
        [81, 36, 48,  7, 36, 60, 92, 82, 63, 49, 32, 70, 21, 96, 80, 75,
